Title,Price,DiscogsID,MaxPrice
HAWKWIND SPACE RITUAL 2x LP ORIGINAL 1ST press  FOLD OUT SLEEVE NM Vinyl,79.99,25
Alberto Calderon Mike Pacheco Sextet Con Sabor Latino Lp Vinyl Record RARE Jazz ,39.99,25
INXS Kick 1987 Vinyl Record Atlantic Records Gatefold Atlantic 7 81796-1,59.99,394397,15
HAROLD LAND Harold In The Land Of Jazz LP ~ RARE LP - UK IMPORT 1959 GROOVEYARD!,97.77,50
"Nick Drake ""Bryter Layter"" 1977 Antilles US VG - VG+ Vinyl Record LP",95.00,70
John Fahey - The Voice Of The Turtle Very Good Plus,VG+ - 4004476153,35.00,20
R.E.M. - Lifes Rich Pageant LP Vinyl Rare Brazilian Press Indie Rock 1986 REM x,50.00,5662438,30
RAY MANNING SINGERS Songstylists On A Mission LP Stairrail Records SEALED,20.00,12495103,10
Cat Power - What Would The Community Think - 150g Vinyl LP - 1996,29.99,677427,24
ORIGINAL 1980 ECHO & THE BUNNYMEN Album CROCODILES Lp Record Original Sleeve Vg+,27.00,588584,15
Sweet Maya S/T LP Jazz Funk Rock Soul 1977 Private Uncle Dirtys Sound Machine,124.99,7870339,100
"BADEN POWELL & VINICIUS DE MORAES ""Os Afro-Sambas"" BRAZIL Forma FM-16 Mono VG++",299.95,100
Mandala - S/T Original LP Morisom Brazil Jazz Funk NM,850.00,240
Naked Raygun Throb Throb LP ORIGINAL 1984 Punk Black Flag Minor Threat Rare*,149.99,30
RARE JUDY MAYHAN WHITE LABEL PROMO LP ATCO 33-319 ULTRASONIC CLEAN GOOD PLAYBACK,28.99,12
PIERRE HENRY PANORAMA ELECTRONIQUE 1968 LIMELIGHT LS-86048 LP Promo,24.99,15
E.S.T - Pure Sex,White Label,80.00,20
Pixies - Come On Pilgrim 1988 original vinyl MAD 709 ROUGH US 43 - VG++,60.00,25
Yo La Tengo - Fakebook 1990 original vinyl LP - Bar|None/Restless Records,49.00,30
George Michael FAITH Vinyl LP 1987 Columbia SHRINK HYPE Sticker INSERTS VG+,54.99,4504601,18
The Cure - Three Imaginary Boys LP UK Fiction Records – FIX 1 1979,65.00,40
"Digital Underground - Sex Packets,LP, Album, Promo,Very Good,VG - 39992382",69.00,21
Kalani Bob & Remegel - The Cheese & Pickles E.P,95.04,50 
Bad Brains - Black Dots LP 1996 Caroline Records – CAR 7534 VG Plays Well,59.99,30
THE CURE Standing On A Beach The Singles Vinyl LP Record 1986 Elektra 60477-1,79.98,35
The Melvins Trilogy Vinyl Records 2LP,200.00,110
